2026-09-12T05:05:01Z,29.471,30.5972,28.3487,28.4389
2026-09-12T05:06:02Z,28.1988,29.4055,27.1338,27.2188
2026-09-12T05:07:04Z,29.5445,30.7228,28.4751,28.5564
2026-09-12T05:08:06Z,28.7971,30.0251,27.7083,27.8082
2026-09-12T05:09:09Z,29.4044,30.6107,28.3691,28.4175
2026-09-12T05:10:11Z,27.9391,29.2379,26.9453,27.0351
2026-09-12T05:11:13Z,29.1617,30.4566,28.2041,28.311
2026-09-12T05:12:15Z,27.9841,29.2726,27.0535,27.1426
2026-09-12T05:13:17Z,28.0165,29.3377,27.0782,27.1615
2026-09-12T05:14:19Z,28.7004,29.8341,27.6126,27.7233
2026-09-12T05:15:21Z,25.2161,23.043,18.8996,25.2678
2026-09-12T05:16:23Z,26.1887,27.4366,25.1931,25.3018
2026-09-12T05:17:26Z,29.4373,30.5576,28.3166,28.4065
2026-09-12T05:18:27Z,27.4469,28.6289,26.3847,26.4959
2026-09-12T05:19:30Z,27.4742,28.6249,26.405,26.4891
2026-09-12T05:20:32Z,29.5355,30.7557,28.5282,28.6433
2026-09-12T05:21:34Z,29.2038,30.4774,28.2507,28.3422
2026-09-12T05:22:37Z,29.2185,30.4723,28.2702,28.3358
2026-09-12T05:23:39Z,29.2331,30.4905,28.2268,28.3306
2026-09-12T05:24:41Z,29.2131,30.4725,28.2221,28.3763
