model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 (c1),1801.6133695186008,41.738608223327134,1801.6133695186008,41.738608223327134,,,,,1139.2269999972389,26.745972627389175,1137.3784999886993,26.745972627389175,1139.2269999972389,26.745972627389175
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 (c1),35.10542938727155,2.1318987807010057,35.10542938727155,2.1318987807010057,45.333333333333336,4.784233364802441,45.333333333333336,4.784233364802441,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 (c2),1772.3272218058858,33.107883173758246,955.6252091661751,71.0914636191636,,,,,2156.873966664231,160.41847173553288,2155.025466655691,160.4184717355328,2156.873966664231,160.41847173553288
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 (c2),58.27355099333971,8.446702569834873,33.506288903000836,6.206421733801603,80.66666666666667,8.993825042154695,42.666666666666664,6.209312003399052,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 (c5),1939.795222802204,48.16191599589058,625.0693466254677,378.909159048417,,,,,4014.611746663771,1339.0614945932618,4012.76324665523,1339.0614945932616,4014.611746663771,1339.0614945932618
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 (c5),59.83722376114341,1.24525096678023,17.36924205327986,1.8868800209759848,119.66666666666667,8.806563209081938,30.533333333333335,3.9810663004889646,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 (c10),2006.8006585552664,8.465273805395695,395.3812681582314,243.61561676825906,,,,,6629.4756233304115,2666.029584917759,6627.62712332187,2666.029584917759,6629.4756233304115,2666.029584917759
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 (c10),66.78176122744986,1.8643589633705104,10.264036280752466,2.171315865882864,160.0,7.788880963698615,21.5,2.591653268990022,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d4096 (c1),1775.731762606445,1.3468448801499857,1775.731762606445,1.3468448801499857,,,,,2309.067666666427,1.7504087376556685,2307.2191666578874,1.7504087376556685,2309.067666666427,1.7504087376556685
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d4096 (c1),36.66617895193904,4.165803731244839,36.66617895193904,4.165803731244839,40.666666666666664,2.0548046676563256,40.666666666666664,2.0548046676563256,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d4096 (c1),635.9798668282623,7.585305062510749,635.9798668282623,7.585305062510749,,,,,3222.5382666608007,38.73923605543736,3220.6897666522614,38.73923605543736,3222.5382666608007,38.73923605543736
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d4096 (c1),31.772119626456373,5.0914177274991355,31.772119626456373,5.0914177274991355,38.666666666666664,6.018490028422596,38.666666666666664,6.018490028422596,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d4096 (c2),1853.9332527326596,30.069780658173567,1112.1795510655793,325.3131713283535,,,,,3910.754466667034,775.3840222273137,3908.905966658495,775.3840222273138,3910.754466667034,775.3840222273137
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d4096 (c2),38.53198570728898,10.314986394583595,25.28987994835037,5.961150841909994,61.333333333333336,6.649979114420002,38.398570991989544,10.102193450667869,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d4096 (c2),654.410021703382,0.7924044659541741,447.0814932417156,127.5379643579414,,,,,4957.117333333978,1327.9410136859392,4955.268833325439,1327.9410136859397,4957.117333333978,1327.9410136859392
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d4096 (c2),27.695529580863617,5.938196758084231,20.835623383321458,6.561960017622539,55.0,10.614455552060438,32.0,7.852812659593164,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d4096 (c5),1983.6622045493816,30.353713709222205,667.3315626803465,373.97729955801265,,,,,7451.3807733349195,2601.262538220673,7449.532273326382,2601.2625382206725,7451.3807733349195,2601.262538220673
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d4096 (c5),41.75454068131034,6.205970940090716,13.93151842748447,4.531558620159526,113.0,14.854853303438128,28.066666666666666,6.77708557485361,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d4096 (c5),666.5737797010956,5.252427890682092,263.20391820681675,157.22053905041778,,,,,10064.95150666451,4168.6619668171,10063.10300665597,4168.6619668171,10064.95150666451,4168.6619668171
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d4096 (c5),30.429233016238857,2.646186401454765,11.206292707215276,4.5702806670216605,97.66666666666667,8.806563209081938,27.8,6.655323683588449,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d4096 (c10),2001.3605827013473,0.9616279718747357,495.99375537996536,463.63868926048633,,,,,12543.453186666982,5707.279629786915,12541.604686658446,5707.279629786915,12607.921916666479,5753.557683710493
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d4096 (c10),40.64333263153631,1.098087836615507,8.183641570607975,2.6245860239611907,148.0,12.027745701779143,22.333333333333332,5.393411618714901,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d4096 (c10),668.1164873870879,1.6056702253256692,169.79176170806196,132.35335094529646,,,,,17671.07217666732,8666.8466200631,17669.22367665878,8666.8466200631,17736.009900001227,8657.815718189948
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d4096 (c10),30.967173955467928,0.4804940954527444,6.871028813610338,4.079093889741741,142.33333333333334,11.08552609887726,21.4,5.276362383309167,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d8192 (c1),1855.4112393738724,48.60910068374581,1855.4112393738724,48.60910068374581,,,,,4420.669733333246,117.89220449718646,4418.821233324707,117.89220449718646,4420.669733333246,117.89220449718646
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d8192 (c1),29.41185080885215,2.024863905179131,29.41185080885215,2.024863905179131,40.333333333333336,4.784233364802441,40.333333333333336,4.784233364802441,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d8192 (c1),636.4180500875663,3.1541749350142134,636.4180500875663,3.1541749350142134,,,,,3219.9383666641857,16.003539639497614,3218.089866655646,16.003539639497614,3219.9383666641857,16.003539639497614
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d8192 (c1),40.52277811101883,9.793086054356017,40.52277811101883,9.793086054356017,47.666666666666664,7.039570693980959,47.666666666666664,7.039570693980959,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d8192 (c2),1962.7196218209974,24.615483931635442,1180.0559594349847,199.3578647755007,,,,,7148.392599997654,1206.0067415520268,7146.544099989114,1206.0067415520264,7148.392599997654,1206.0067415520268
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d8192 (c2),34.26093326999966,2.5913890271545608,23.42537018240858,5.210775712627051,68.0,5.0990195135927845,37.166666666666664,4.6696419087073,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d8192 (c2),643.7669441531065,0.5908111594607905,438.7999244215125,124.72922742892698,,,,,5046.538600004472,1343.7140833965095,5044.690099995933,1343.7140833965095,5046.538600004472,1343.7140833965095
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d8192 (c2),31.295938944335933,2.192755370460062,21.77993236300924,5.087004916618313,62.666666666666664,5.90668171555645,34.0,4.795831523312719,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d8192 (c5),2001.132028732343,13.851329250847897,734.4254481787488,355.9071573555763,,,,,13538.396120003503,5223.480623417587,13536.54761999496,5223.480623417587,13538.396120003503,5223.480623417587
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d8192 (c5),25.155853517239862,2.9063591208635464,11.46690504927765,8.337628890085462,107.0,6.164414002968976,27.466666666666665,8.777749648337489,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d8192 (c5),654.6352998565317,6.560701860735749,250.90126038800085,138.36058657057814,,,,,10293.025813335165,4176.9341725794175,10291.177313326625,4176.9341725794175,10301.851433335105,4188.440391256053
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d8192 (c5),29.583837145203674,3.654826146224988,12.011630596408237,5.007807153924096,103.66666666666667,3.0912061651652345,28.466666666666665,5.289822513300632,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_pp @ d8192 (c10),2002.1436030203406,4.584872798083195,494.1978889339181,353.04423548028876,,,,,23470.511133331456,11227.072721007296,23468.66263332291,11227.072721007295,23535.621349997622,11244.520454676742
deepseek-ai/DeepSeek-V4-Flash-0731,ctx_tg @ d8192 (c10),26.96083494942859,1.104010773860843,6.1552959077999105,3.6059408476144394,142.0,12.192894105447921,22.033333333333335,4.490607481795259,,,,,,
deepseek-ai/DeepSeek-V4-Flash-0731,pp2048 @ d8192 (c10),652.7156431459746,2.683949300204068,175.3848531671901,155.35290111576776,,,,,18000.304626668607,8873.29196717737,17998.456126660072,8873.291967177372,18000.304626668607,8873.29196717737
deepseek-ai/DeepSeek-V4-Flash-0731,tg128 @ d8192 (c10),31.69915498713978,1.3586305474288622,6.722747683177477,3.3174199505068307,143.66666666666666,7.930251502246879,20.9,3.3201405592735576,,,,,,
